number,polling_station_code,polling_station_name,constituency,district,region,source
1,A010101,METH JSS WORKSHOP BLK HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
2,A010102,METH NURSERY BLK HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
3,A010103,PEACE INTERNATIONAL PRIM SCH COMBODIA HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
4,A010104,METH JSS BLK A HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
5,A010105,OPPOSITE GCB HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
6,A010106,METH PRIM A HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
7,A010107,NREDA/SHIDO SQUARE. HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
8,A010108,METH PRIM BLK B HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
9,A010109,E. EKPALE'S SQUARE. HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
10,A010110,WHAJAH'S SQUARE.HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
11,A010111,ARVO'S SQUARE HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
12,A010112,P.TOBENLE'S SQUARE. HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
13,A010201A,R/C JSS BLK A HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
14,A010201B,R/C JSS BLK A HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
15,A010202,NANA AYEBIE AMIHERE PRIM SCH HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
16,A010203,CHRIST THE KING PREP. HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
17,A010204,SDA CHURCH HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
18,A010301,NZEMA MAANLE PREP SCH. HALF-ASSINI. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
19,A010302,NZEMA MAANLE PREP SCH. HALF-ASSINI. 2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
20,A010303,NZEMA MAANLE N'SERY BLK B HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
21,A010304,PUBLIC SQUARE ASUKOLO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
22,A010305A,OLD JOMORO DIST. ASSEMBLY HALL. HALF-ASSINI. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
23,A010305B,OLD JOMORO DIST. ASSEMBLY HALL. HALF-ASSINI. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
24,A010306,OLD JOMORO DIST. ASSEMBLY HALL. HALF-ASSINI. 2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
25,A010307,MAGISTRATE COURT. HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
26,A010308,PUBLIC SQUARE METIKA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
27,A010309,SO FAR SQUARE HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
28,A010401,D/A JSS EKPU,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
29,A010402,MARKET SQUARE. EKPU,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
30,A010403,R C PRIM SCH BLK A EKPU,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
31,A010501A,D/A PRIM SCH NEWTOWN. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
32,A010501B,D/A PRIM SCH NEWTOWN. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
33,A010502,D/A PRIM SCH NEWTOWN. 2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
34,A010503,D/A NURSERY SCH NEWTOWN,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
35,A010504,D/A KG NEWTOWN WHARF,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
36,A010601,D/A PRIM SCH EFASU,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
37,A010602,PROTOA OFFICE EFASU. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
38,A010603,PROTOA OFFICE EFASU. 2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
39,A010604,RC PRIM SCH MANGYEA. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
40,A010605,RC PRIM SCH MANGYEA. 2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
41,A010606,M/A PRIM. SCH. MANGYEA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
42,A010701,COMMUNITY CENTRE NZEMTIANU,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
43,A010702,PUBLIC SQUARE APOLONU,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
44,A010703,R/C PRIM SCH MPESEM,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
45,A010704,PUBLIC SQUARE DAUDA/ MENSAH BAKA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
46,A010801A,UPPER MARKET SQUARE ASISUAZO JAWAY WHARF. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
47,A010801B,UPPER MARKET SQUARE ASISUAZO JAWAY WHARF. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
48,A010802,UPPER MARKET SQUARE ASISUAZO JAWAY WHARF. 2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
49,A010803,LOWER MARKET SQUARE ASISUAZO JAWAY WHARF. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
50,A010804,LOWER MARKET SQUARE ASISUAZO JAWAY WHARF. 2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
51,A010805,UNITED PENTECOSTAL CHURCH JAWAY WHARF. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
52,A010806A,UNITED PENTECOSTAL CHURCH JAWAY WHARF. 2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
53,A010806B,UNITED PENTECOSTAL CHURCH JAWAY WHARF. 2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
54,A010807,PALACE SQUARE NYAMEBEKYERE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
55,A010808,R/C PRIM SCH JAWAY,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
56,A010809,R/C JHS JAWAY,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
57,A010901,D/A PRIM SCH AKASUAZO ANLOMATUOPE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
58,A010902,D/A PRIM SCH AMANZULE ANLOMATUOPE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
59,A010903,PENTECOST CHURCH BOAKWAW,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
60,A011001,EHWIE'S COMPOUND BEYIN TAKINTA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
61,A011002,MR TECHIE'S COMP BOLEFOLE-SUAZO TAKINTA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
62,A011003,MR ANZELE'S COMPOUND KUMASI TAKINTA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
63,A011004,ENJOY INN SPOT BEKWAE TAKINTA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
64,A011101,MARKET SQUARE OLD KABENLASUAZO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
65,A011102,BLAY CHI SPOT NEW KABENLASUAZO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
66,A011103,NIGHT MARTKET SQUARE NEW KABENLASUAZO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
67,A011104,COMMUNITY CENTER A EGBAZO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
68,A011105,COMMUNITY CENTRE B EGBAZO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
69,A011106,COMMUNITY MARKET AHOBRE NO.1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
70,A011201,D/A PRIM SCH ADUSUAZO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
71,A011202,MARKET SQUARE ADUSUAZO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
72,A011203,NEAR THE BASE SPOT ADUSUAZO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
73,A011301,COMMUNITY CENTER AHOBRE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
74,A011302,RC CHURCH AHOBRE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
75,A011303,MARKET SQUARE AHOBRE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
76,A011304,SANE AFO'S COMPOUND AHOBRE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
77,A011305,MARKET SQUARE OLD EDOBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
78,A011306,NEAR CHIEF'S PALACE NEW EDOBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
79,A011307,MARKET SQUARE ATWEBANSO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
80,A011401,MARKET SQUARE BONYERE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
81,A011402,R/C JHS ACKASUAZO EAST BONYERE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
82,A011403,R/C PRIM SCH BONYERE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
83,A011501,POST OFFICE ZONGO EAST BONYERE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
84,A011502,CARPENTER MIEZAH'S SQUARE ZONGO WEST BONYERE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
85,A011503,OLD LOCAL COUNCIL OFFCE BONYERE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
86,A011601,KABENLA AZANE'S RESIDENCE EKEGYINA AND BONYERE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
87,A011602,PALACE SQUARE BONYERE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
88,A011603,R/C JHS BLOCK A BONYERE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
89,A011604,RC JHS BLK B BONYERE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
90,A011605,R/C CHURCH NDUMSUAZO UPPER,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
91,A011606,KETIBOAH'S SQUARE NDUMSUAZO LOWER,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
92,A011607,R/C PRIMARY SCHOOL NAWULLEY JUNCTION,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
93,A011701,BLAY MIEZAH SQUARE EZINLIBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
94,A011702,DANYI ANYIMAH SQUARE. COMM 2 ALLUKU EZINLIBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
95,A011703,HOAMIA-KYI SQUARE COMMUNITY 3 ALLUKU EZINLIBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
96,A011704,OLD MARKET SQUARE COMMUNITY 1 EZINLIBO AGONLA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
97,A011705,KANRA EKYI'S SQUARE COMM 2 AGONLA EZINLIBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
98,A011706,METHODIST CHURCH SQUARE (COMM 3 AGONLA ) EZINLIBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
99,A011801A,CHIEF'S PLACE SQUARE. 1 TIKOBO NO.1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
100,A011801B,CHIEF'S PLACE SQUARE. 1 TIKOBO NO.1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
101,A011802,CHIEF'S PLACE SQUARE. 2 TIKOBO NO.1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
102,A011803A,D/A PRIM SCH BLK A. 1 TIKOBO NO.1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
103,A011803B,D/A PRIM SCH BLK A. 1 TIKOBO NO.1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
104,A011804A,D/A PRIM SCH BLK A. 2 TIKOBO NO.1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
105,A011804B,D/A PRIM SCH BLK A. 2 TIKOBO NO.1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
106,A011805,D/A PRIM SCHOOL BLK B. 1 TIKOBO NO.1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
107,A011806,D/A PRIM SCHOOL BLK B. 2 TIKOBO NO.1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
108,A011807,OLD MARKET SQUARE TIKOBO NO.1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
109,A011901,R/C PRIM SCHOOL ELLENDA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
110,A011902,D/A JHS BLOCK A ELLENDA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
111,A011903,D/A JHS BLOCK B ELLENDA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
112,A011904,COCOA SHED ELLENDA WHARF,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
113,A012001A,D/A JHS ALLOWULEY,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
114,A012001B,D/A JHS ALLOWULEY,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
115,A012002,AKENYA ADONLE'S RESIDENCE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
116,A012003,MARKET SQUARE EHOAKA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
117,A012004,M/A PRIM SCH EHOAKA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
118,A012101,MAME KONE ADWO'S RESIDENCE A TWINEN,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
119,A012102,PUBLIC SQUARE TWINEN,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
120,A012103,PUBLIC SQUARE AGYEZA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
121,A012104,MARKET SQUARE ALLENGENZULLEY,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
122,A012201,MARKET SQUARE NAWULLEY,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
123,A012202,EBANYENLE SQUARE NAWULLEY,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
124,A012301,INFORMATION CENTRE BEYIN,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
125,A012302,MARKET SQUARE BEYIN,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
126,A012303,EGYA BONZO'S RESIDENCE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
127,A012304,PUBLIC SQUARE MAYEGYINA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
128,A012305,PUBLIC SQUARE EKABAKU,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
129,A012306,R/C JHS BEYIN,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
130,A012307,MARKET SQUARE NGELEKAZO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
131,A012401,MARKET SQUARE ELLONYI NO. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
132,A012402,PALACE SQUARE ELLONYI NO. 2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
133,A012403,PUBLIC SQUARE ELLONYI NO.3,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
134,A012404,BEYELAKAH'S SQUARE ELLONYI NO.4,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
135,A012405,ST. MARY'S CATHOLIC CHURCH KENGEN,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
136,A012406,R/C MISSION HOUSE KENGEN,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
137,A012407,EHOMA TOM SQUARE KENGEN,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
138,A012408,MARKET SQUARE KENGEN,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
139,A012501,R/C PRIM SCHOOL NUBA A,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
140,A012502,R/C JHS SCH NUBA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
141,A012503,R/C CHURCH NUBA. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
142,A012504,R/C CHURCH NUBA. 2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
143,A012601,D/A PRIMARY SCH ANWIAFUTU,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
144,A012602,D/A JHS ANWIAFUTU JUNCTION,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
145,A012603,D/A PRIM SCHOOL ANKASA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
146,A012604,D/A PRIN SCH KWABILE,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
147,A012701,COMMUNITY CENTRE MPATABA. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
148,A012702,COMMUNITY CENTRE MPATABA. 2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
149,A012703,MING DAWN ICT CENTRE MPATABA. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
150,A012704,MING DAWN ICT CENTRE MPATABA. 2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
151,A012801,D/A PRIM SCHOOL. MPATABA COMPOUND,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
152,A012802A,MARKET SQUARE SOWODADZEM. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
153,A012802B,MARKET SQUARE SOWODADZEM. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
154,A012803,MARKET SQUARE SOWODADZEM. 2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
155,A012804,D/A PRIM SCH AMOKWAWSUAZO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
156,A012805,D/A PRIM SCH OLD ANKASA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
157,A012806,COMMUNITY CENTRE MPATABA MILE 5,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
158,A012807,D/A PRIM SCH NAVRONGO TWEAKO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
159,A012901,MANS PRIM. SCH.. AHUMASUAZO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
160,A012902,OLD PRIM. SCH. TEACHER'S QUARETERS AHUMASUAZO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
161,A012903,D/C PRIM SCHOOL. AZULETI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
162,A012904A,D/A JHS SAMANYE EAST,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
163,A012904B,D/A JHS SAMANYE EAST,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
164,A012905,D/A PRIM. SCH. SAMANYE EAST,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
165,A012906,MARKET SQUARE SAMENYE WEST,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
166,A012907,MARKET SQUARE TWEAKO NAVRONGO. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
167,A012908,MARKET SQUARE TWEAKO NAVRONGO. 2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
168,A013001A,NANA NDA BILE JHS TIKOBO NO.2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
169,A013001B,NANA NDA BILE JHS TIKOBO NO.2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
170,A013002,ANGLICAN PRIM. SCH. TIKOBO NO.2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
171,A013003A,COMMUNITY CENTRE TIKOBO NO.2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
172,A013003B,COMMUNITY CENTRE TIKOBO NO.2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
173,A013004,D/A JHS SCH TIKOBO NO.2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
174,A013005,NANA ARVONWEA BASIC SCH. FOREST JUNCTION,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
175,A013101,MARKET SQUARE NVELLENU,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
176,A013102,MARKET SQUARE BAWIA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
177,A013103,D/A PRIM SCHOOL EBONLOA,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
178,A013104,MARKET SQUARE MBEM,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
179,A013201A,ASIKOFI SQUARE A ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
180,A013201B,ASIKOFI SQUARE A ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
181,A013202,VODAFONE HSE ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
182,A013203,ASIKOFI SQUARE B ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
183,A013204,FIRE SERVICE ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
184,A013205,PUBLIC SQUARE A ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
185,A013206A,PUBLIC SQUARE B ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
186,A013206B,PUBLIC SQUARE B ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
187,A013207,PARLIAMENT HSE ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
188,A013208A,SDA PRIM SCH ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
189,A013208B,SDA PRIM SCH ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
190,A013209,SDA JHS ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
191,A013210,WISE INT SCH ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
192,A013211A,GOVT HOSPITAL ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
193,A013211B,GOVT HOSPITAL ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
194,A013212,GOVT MATERNITY SQUARE ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
195,A013213A,NEW GENERATION COMPLEX SCH. ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
196,A013213B,NEW GENERATION COMPLEX SCH. ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
197,A013214,JESUS NEVER FAILS JHS ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
198,A013301,R/C PRIM SCH BLOCK A 1 ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
199,A013302A,R/C PRIM SCH BLOCK A 2 ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
200,A013302B,R/C PRIM SCH BLOCK A 2 ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
201,A013303,R/C PRIM SCH BLOCK B 1 ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
202,A013304,R/C PRIM SCH BLOCK B 2 ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
203,A013305,R/C PRIM SCH BLOCK C 1 ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
204,A013306,R/C PRIM SCH BLOCK C 2 ELUBO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
